"Facebook Social Network Database (n = 715 observations, m = 21 variables)"																					
Friend 	Age	Photos	# of Tags	Albums	Gender 	Emp	Profile	Cover	Orientation	Relationship	Posts	Replies	MidWest	Seast	West	Children	Likes	Edu	Events	USA	Friends
160	23	83	685	8	1	0	1	0	1	0	31	12	1	0	0	0	36	1	6	1	661
161	21	612	506	16	0	0	1	0	1	0	40	27	1	0	0	0	37	0	3	1	767
162	21	1334	0	28	0	0	0	0	1	0	18	8	1	0	0	0	79	0	12	1	1007
163	20	390	302	16	0	0	1	1	1	0	4	2	1	0	0	0	14	0	11	1	1368
164	25	9022	2123	140	0	1	1	0	1	1	50	35	1	0	0	1	332	0	2	1	923
165	22	158	72	13	1	1	1	1	1	0	3	1	1	0	0	0	31	0	8	1	971
166	20	1192	1105	26	0	1	1	0	1	0	11	1	1	0	0	0	149	0	2	1	1134
167	26	507	665	18	1	0	0	0	1	0	31	17	1	0	0	0	367	0	7	1	1152
168	21	162	334	10	1	1	1	0	1	0	10	4	1	0	0	0	77	0	1	1	528
169	23	385	309	32	0	0	1	0	1	1	654	546	1	0	0	0	146	0	5	1	741
170	24	70	1	6	1	0	1	0	1	0	2	5	1	0	0	0	28	0	3	1	660
171	24	944	0	110	0	1	1	0	1	0	63	4	1	0	0	0	230	0	10	1	733
172	21	233	4	11	1	0	1	0	1	0	14	2	1	0	0	0	35	0	17	1	747
173	24	576	432	10	1	1	1	0	1	1	535	434	1	0	0	0	330	0	5	1	730
174	22	2011	7	64	0	1	1	1	1	1	3	4	0	1	0	0	11	0	2	1	571
175	20	218	2	23	0	1	1	0	1	0	14	28	1	0	0	0	212	0	12	1	345
176	24	845	9	8	1	0	1	0	1	0	0	0	1	0	0	0	43	0	3	1	909
177	21	1374	0	42	1	1	1	1	1	0	9	11	1	0	0	0	47	0	2	1	1187
178	23	1200	3	36	0	1	1	1	1	0	2	1	1	0	0	0	33	0	1	1	804
179	20	209	0	12	1	1	1	1	1	1	0	0	1	0	0	0	186	0	20	1	496
180	21	1035	4	27	0	0	1	0	1	0	1	2	1	0	0	0	46	0	0	1	817
181	55	215	0	58	0	0	1	0	1	1	5	7	1	0	0	1	173	0	5	1	501
182	25	1688	1	106	1	1	0	0	1	1	0	0	1	0	0	0	2	0	10	1	548
183	39	106	1	10	0	1	1	0	1	1	16	31	0	1	0	1	77	0	1	1	409
184	17	164	1	9	1	1	0	0	1	1	0	18	1	0	0	0	477	1	2	1	616
185	21	312	0	11	0	0	1	0	1	1	0	2	1	0	0	0	2	0	4	1	291
186	21	720	1	18	0	1	1	0	1	0	2	21	1	0	0	0	83	0	2	1	386
187	25	659	9	37	1	1	1	0	1	1	15	44	1	0	0	0	69	0	10	1	1378
188	31	393	158	17	0	0	1	1	1	0	14	17	1	0	0	0	58	1	1	1	600
189	18	128	62	4	1	0	1	0	1	0	24	12	1	0	0	0	802	0	1	1	478
190	27	310	205	6	0	1	1	0	1	1	2	0	1	0	0	0	10	0	2	1	382
191	38	135	67	4	0	0	1	1	1	1	17	28	1	0	0	1	11	1	0	1	195
192	27	212	92	7	0	1	1	1	1	0	3	1	1	0	0	0	6	0	0	1	207
193	20	140	123	2	1	1	1	1	1	0	12	18	1	0	0	0	71	0	7	1	507
194	17	41	63	0	1	1	1	1	1	0	1	1	1	0	0	0	306	1	4	1	371
195	35	86	76	1	1	1	1	0	1	0	3	3	0	0	0	0	91	0	0	0	125
196	37	419	76	8	0	1	1	0	1	1	16	27	0	0	1	1	109	0	3	1	403
197	20	330	314	1	0	0	1	0	1	0	2	0	1	0	0	0	13	0	1	1	245
198	24	130	221	6	0	1	1	1	1	1	3	3	1	0	0	0	90	0	0	1	146
199	24	212	113	4	0	1	1	0	1	0	3	4	1	0	0	0	124	0	0	1	313
200	20	96	12	0	1	0	1	0	1	1	6	5	1	0	0	0	16	0	0	1	113
201	16	36	12	0	1	0	1	1	1	0	18	25	1	0	0	0	142	1	6	1	415
202	19	12	0	0	1	0	1	1	1	0	0	0	1	0	0	0	54	0	3	1	524
203	36	201	102	6	0	1	1	0	1	1	6	7	1	0	0	1	62	0	1	1	186
